user_id,date,steps,sleep_min,workout_duration_min_tot,weight,calories_burned,calories_consumed,weight_ma_3,weight_ma_5,weight_ma_7,steps_ma_3,steps_ma_5,steps_ma_7,calories_consumed_ma_3,calories_consumed_ma_5,calories_consumed_ma_7,calories_burned_ma_3,calories_burned_ma_5,calories_burned_ma_7,sleep_min_ma_3,sleep_min_ma_5,sleep_min_ma_7,workout_duration_min_tot_ma_3,workout_duration_min_tot_ma_5,workout_duration_min_tot_ma_7,bmi,bmr,tdee,energy_balance,sleep_hours,workout_hours,etl_processed_at,etl_version
,04/08/2025,8754.0,357,121.0,74.0,3148.0,2598.0,74.0,74.0,74.0,8754.0,8754.0,8754.0,2598.0,2598.0,2598.0,3148.0,3148.0,3148.0,357.0,357.0,357.0,121.0,121.0,121.0,21.62162162162162,1736.25,2691.1875,-550.0,5.95,2.0166666666666666,2025-10-30T12:58:29.948171,1.0.0
,05/08/2025,9184.0,443,127.0,73.8,3176.0,2608.0,73.9,73.9,73.9,8969.0,8969.0,8969.0,2603.0,2603.0,2603.0,3162.0,3162.0,3162.0,400.0,400.0,400.0,124.0,124.0,124.0,21.563184806428048,1734.25,2688.0875,-568.0,7.383333333333334,2.1166666666666667,2025-10-30T12:58:29.948171,1.0.0
,06/08/2025,6810.0,445,54.0,73.7,2701.0,2610.0,73.83333333333333,73.83333333333333,73.83333333333333,8249.333333333334,8249.333333333334,8249.333333333334,2605.3333333333335,2605.3333333333335,2605.3333333333335,3008.3333333333335,3008.3333333333335,3008.3333333333335,415.0,415.0,415.0,100.66666666666667,100.66666666666667,100.66666666666667,21.53396639883126,1733.25,2686.5375,-91.0,7.416666666666667,0.9,2025-10-30T12:58:29.948171,1.0.0
,07/08/2025,9321.0,473,128.0,74.2,3449.0,3007.0,73.89999999999999,73.925,73.925,8438.333333333334,8517.25,8517.25,2741.6666666666665,2705.75,2705.75,3108.6666666666665,3118.5,3118.5,453.6666666666667,429.5,429.5,103.0,107.5,107.5,21.68005843681519,1738.25,2694.2875,-442.0,7.883333333333334,2.1333333333333333,2025-10-30T12:58:29.948171,1.0.0
,08/08/2025,14292.0,445,153.0,73.1,3174.0,2758.0,73.66666666666667,73.76,73.76,10141.0,9672.2,9672.2,2791.6666666666665,2716.2,2716.2,3108.0,3129.6,3129.6,454.3333333333333,432.6,432.6,111.66666666666667,116.6,116.6,21.358655953250544,1727.25,2677.2375,-416.0,7.416666666666667,2.55,2025-10-30T12:58:29.948171,1.0.0
,09/08/2025,17114.0,504,124.0,73.7,3073.0,2780.0,73.66666666666667,73.7,73.75,13575.666666666666,11344.2,10912.5,2848.3333333333335,2752.6,2726.8333333333335,3232.0,3114.6,3120.1666666666665,474.0,462.0,444.5,135.0,117.2,117.83333333333333,21.53396639883126,1733.25,2686.5375,-293.0,8.4,2.066666666666667,2025-10-30T12:58:29.948171,1.0.0
,10/08/2025,21195.0,471,144.0,73.5,3080.0,2662.0,73.43333333333334,73.64,73.71428571428571,17533.666666666668,13746.4,12381.42857142857,2733.3333333333335,2763.4,2717.5714285714284,3109.0,3095.4,3114.4285714285716,473.3333333333333,467.6,448.2857142857143,140.33333333333334,120.6,121.57142857142857,21.47552958363769,1731.25,2683.4375,-418.0,7.85,2.4,2025-10-30T12:58:29.948171,1.0.0
,11/08/2025,11426.0,496,143.0,73.5,3147.0,2788.0,73.56666666666666,73.6,73.64285714285714,16578.333333333332,14669.6,12763.142857142857,2743.3333333333335,2799.0,2744.714285714286,3100.0,3184.6,3114.285714285714,490.3333333333333,477.8,468.14285714285717,137.0,138.4,124.71428571428571,21.47552958363769,1731.25,2683.4375,-359.0,8.266666666666667,2.3833333333333333,2025-10-30T12:58:29.948171,1.0.0
,12/08/2025,11094.0,449,102.0,73.6,2977.0,3140.0,73.53333333333333,73.47999999999999,73.61428571428571,14571.666666666666,15024.2,13036.0,2863.3333333333335,2825.6,2820.714285714286,3068.0,3090.2,3085.8571428571427,472.0,473.0,469.0,129.66666666666666,133.2,121.14285714285714,21.504747991234474,1732.25,2684.9875,163.0,7.483333333333333,1.7,2025-10-30T12:58:29.948171,1.0.0
,13/08/2025,11648.0,447,117.0,74.5,3001.0,1948.0,73.86666666666666,73.75999999999999,73.72857142857143,11389.333333333334,14495.4,13727.142857142857,2625.3333333333335,2663.6,2726.1428571428573,3041.6666666666665,3055.6,3128.714285714286,464.0,473.4,469.2857142857143,120.66666666666667,126.0,130.14285714285714,21.76771365960555,1741.25,2698.9375,-1053.0,7.45,1.95,2025-10-30T12:58:29.948171,1.0.0
,14/08/2025,9279.0,411,58.0,73.8,2735.0,2906.0,73.96666666666665,73.78,73.67142857142858,10673.666666666666,12928.4,13721.142857142857,2664.6666666666665,2688.8,2711.714285714286,2904.3333333333335,2988.0,3026.714285714286,435.6666666666667,454.8,460.42857142857144,92.33333333333333,112.8,120.14285714285714,21.563184806428048,1734.25,2688.0875,171.0,6.85,0.9666666666666667,2025-10-30T12:58:29.948171,1.0.0
,15/08/2025,10102.0,430,50.0,74.2,2474.0,2717.0,74.16666666666667,73.92,73.82857142857142,10343.0,10709.8,13122.57142857143,2523.6666666666665,2699.8,2705.8571428571427,2736.6666666666665,2866.8,2926.714285714286,429.3333333333333,446.6,458.2857142857143,75.0,94.0,105.42857142857143,21.68005843681519,1738.25,2694.2875,243.0,7.166666666666667,0.8333333333333334,2025-10-30T12:58:29.948171,1.0.0
,16/08/2025,13906.0,275,129.0,73.6,3064.0,2892.0,73.86666666666666,73.94,73.81428571428572,11095.666666666666,11205.8,12664.285714285714,2838.3333333333335,2720.6,2721.8571428571427,2757.6666666666665,2850.2,2925.4285714285716,372.0,402.4,425.57142857142856,79.0,91.2,106.14285714285714,21.504747991234474,1732.25,2684.9875,-172.0,4.583333333333333,2.15,2025-10-30T12:58:29.948171,1.0.0
,17/08/2025,15097.0,495,93.0,73.6,2772.0,,73.8,73.94000000000001,73.82857142857142,13035.0,12006.4,11793.142857142857,2804.5,2615.75,2731.8333333333335,2770.0,2809.2,2881.4285714285716,400.0,411.6,429.0,90.66666666666667,89.4,98.85714285714286,21.504747991234474,1732.25,2684.9875,,8.25,1.55,2025-10-30T12:58:29.948171,1.0.0
,18/08/2025,12528.0,418,135.0,73.2,2953.0,2779.0,73.46666666666665,73.68,73.78571428571429,13843.666666666666,12182.4,11950.57142857143,2835.5,2823.5,2730.3333333333335,2929.6666666666665,2799.6,2853.714285714286,396.0,405.8,417.85714285714283,119.0,93.0,97.71428571428571,21.387874360847334,1728.25,2678.7875,-174.0,6.966666666666667,2.25,2025-10-30T12:58:29.948171,1.0.0
,19/08/2025,11928.0,491,129.0,73.0,3142.0,2770.0,73.26666666666667,73.52000000000001,73.7,13184.333333333334,12712.2,12069.714285714286,2774.5,2789.5,2668.6666666666665,2955.6666666666665,2881.0,2877.285714285714,468.0,421.8,423.85714285714283,119.0,107.2,101.57142857142857,21.32943754565376,1726.25,2675.6875,-372.0,8.183333333333334,2.15,2025-10-30T12:58:29.948171,1.0.0
