user_id,date,steps,sleep_min,workout_duration_min_tot,weight,calories_burned,calories_consumed
,09/12/2025,15424,321,141,71.8,3152,3680
,10/12/2025,12424,468,111,71.8,2922,3581
,11/12/2025,9308,408,83,71.8,2723,3540
,12/12/2025,7738,523,80,71.8,2770,3695
,13/12/2025,12895,463,84,72.6,3043,3492
,14/12/2025,10813,462,106,72.3,2030,3584
,15/12/2025,7677,424,108,72.3,2985,3721
,16/12/2025,13423,459,136,72.3,3051,3708
,17/12/2025,9417,492,80,72.3,2859,3422
,18/12/2025,17379,464,93,72.7,2817,3409
,19/12/2025,9349,413,109,72.7,2846,3528
,20/12/2025,8596,428,131,72.1,3232,3485
,21/12/2025,8388,430,15,72.9,2422,3442
,22/12/2025,9905,426,71,72.9,2864,3624
,23/12/2025,7789,0,22,72.54548142,2537,2604
,24/12/2025,13080,481,75,72.3,2713,2029
,25/12/2025,8123,354,15,72.3,2375,3207.744389
,26/12/2025,12199,381,37,73.1,2685,3217.273721
,27/12/2025,8082,293,10,72.25586192,2540,3226.803053
,28/12/2025,11464,280,35,72.05300911,2596,3236.332385
,29/12/2025,11831,422,39,71.4,2613,3245.861718
,30/12/2025,10600,309,57,71.80516626,2770,3255.39105
,31/12/2025,9296,428,1,71.76017623,2529,3264.920382
,01/01/2026,9724,379,47,71.7151862,2604,3274.449714
,02/01/2026,10303,295,8,71.67019617,2599,3283.979046
,03/01/2026,10858,415,71,71.62520614,2840,3293.508378
,04/01/2026,5244,425,72,71.4,2538,3356
,05/01/2026,7758,465,14,71.4,2163,3288
,06/01/2026,8099,573,53,71.4,2626,3147
,07/01/2026,5799,480,44,72,2527,3279
,08/01/2026,8492,516,87,72,2818,3415
,09/01/2026,6940,459,115,72.6,3012,3372
,10/01/2026,13430,475,87,72.1,2747,3375
,11/01/2026,14635,423,101,72.1,2698,3473
,12/01/2026,6887,490,139,72.1,3155,3457
,13/01/2026,7579,422,103,72.1,2907,3395
,14/01/2026,5318,465,47,72.9,2385,3481
,15/01/2026,5336,499,76,72.62904152,2838,3460
,16/01/2026,11530,400,107,72.70487606,3027,3426
,17/01/2026,9940,416,88,72.78071061,2501,3370
,18/01/2026,13733,445,57,72.85654516,2751,3336
,19/01/2026,7570,512,97,72.9323797,2784,3555
,20/01/2026,14413,370,92,73.00821425,2737,3442
,21/01/2026,12637,403,120,73.0840488,3025,3428
,22/01/2026,7429,454,114,73.15988334,2887,3410
,23/01/2026,7703,458,76,73.23571789,2815,3549
,24/01/2026,7393,471,3,73.31155244,2259,3900
,25/01/2026,13282,408,81,73.38738698,2866,3428
,26/01/2026,7443,440,92,73.46322153,2700,3412
,27/01/2026,6414,488,106,73.3,2752,3674
,28/01/2026,7308,388,53,73.8,2700,3898
,29/01/2026,8183,457,141,73.8,3171,3605
,30/01/2026,7891,437,111,73.8,2874,3583
,31/01/2026,8911,419,24,74.6,2709,3938
,01/02/2026,12380,415,66,74.2,2714,2681
,02/02/2026,8771,509,148,74.2,3148,3584
,03/02/2026,12648,473,126,74.2,3199,3569
,04/02/2026,13566,488,107,74.2,2958,3551
,05/02/2026,6308,467,129,74.2,3141,3678
,06/02/2026,7376,447,126,74.2,3137,3715
,07/02/2026,10301,427,24,74.7,2386,3094
,08/02/2026,9217,514,107,,3028,3586
,09/02/2026,10638,379,20,,2528,3328
,10/02/2026,8910,448,13,,2390,3028
,11/02/2026,10865,413,63,,2936,2968
,12/02/2026,7924,326,45,,2632,3101
,13/02/2026,5669,402,2,,2448,3027
,14/02/2026,6872,394,11,,2355,
,15/02/2026,6921,566,22,,2299,
,16/02/2026,9155,374,83,,2901,
,17/02/2026,15835,419,102,74.1,3114,
,18/02/2026,8526,376,22,73.2,2588,
,19/02/2026,12162,397,84,73.2,2960,3638
,20/02/2026,13058,415,114,73.4,3124,3634
,21/02/2026,9270,474,24,73.2,2590,3663
,22/02/2026,14581,430,52,73.9,2713,3628
,23/02/2026,7552,479,101,73.9,3032,3588
,24/02/2026,5699,454,42,73.9,2685,3527
,25/02/2026,8688,383,63,74.3,2893,3254
,26/02/2026,7314,458,117,74.3,3267,3580
,27/02/2026,7938,386,72,74.9,2889,3581
,28/02/2026,15982,463,103,74.3,2965,3483
,01/03/2026,18137,477,111,74.3,2966,3449
,02/03/2026,9035,403,116,74.2,3147,3479
,03/03/2026,9163,376,95,74.2,2959,3359
,04/03/2026,9419,399,55,74.2,2834,3530
,05/03/2026,9868,534,85,75,2875,3413
,06/03/2026,9203,488,108,73.9,3023,3495
,07/03/2026,12755,423,100,73.7,2943,3270
,08/03/2026,12290,350,55,74,2600,3430
,09/03/2026,10219,467,149,74.1,3261,3528
,10/03/2026,8550,428,75,74.1,2829,3557
,11/03/2026,7731,381,127,74.1,3186,3591
,12/03/2026,9864,480,93,74.1,2890,3520
,13/03/2026,8592,412,131,74.5,3222,3565
,14/03/2026,,525,,74.5,,
