user_id,date,steps,sleep_min,workout_duration_min_tot,weight,calories_burned,calories_consumed
,13/10/2025,9202.0,473.0,87.0,71.0,2782.0,2602.0
,14/10/2025,9833.0,503.0,130.0,70.0,2880.0,2941.0
,15/10/2025,9121.0,447.0,123.0,70.0,2860.0,2764.0
,16/10/2025,5183.0,423.0,67.0,70.7,2395.0,2789.0
,17/10/2025,12950.0,536.0,121.0,70.7,2904.0,2931.0
,18/10/2025,16397.0,459.0,78.0,70.1,2779.0,2982.0
,19/10/2025,13829.0,435.0,84.0,71.5,2643.0,3004.0
,20/10/2025,8169.0,398.0,88.0,71.0,2634.0,2951.0
,21/10/2025,15181.0,498.0,153.0,70.3,3037.0,2970.0
,22/10/2025,12382.0,492.0,142.0,70.7,2841.0,2950.0
,23/10/2025,15075.0,478.0,98.0,70.4,2695.0,2966.0
,24/10/2025,25671.0,451.0,205.0,70.8,3536.0,3206.0
,25/10/2025,15962.0,418.0,159.0,71.5,3062.0,3338.0
,26/10/2025,17806.0,471.0,123.0,72.0,2840.0,2530.0
,27/10/2025,7595.0,362.0,80.0,70.4,2796.0,3483.0
,28/10/2025,11674.0,502.0,130.0,71.3,2971.0,2855.0
,29/10/2025,11924.0,452.0,132.0,70.7,3120.0,3055.0
,30/10/2025,5895.0,407.0,75.0,70.5,2701.0,3160.0
,31/10/2025,9628.0,499.0,121.0,70.5,3088.0,3155.0
,01/11/2025,13896.0,423.0,99.0,70.6,2928.0,3270.0
,02/11/2025,19049.0,430.0,88.0,70.7,2789.0,3221.0
,03/11/2025,8044.0,386.0,132.0,70.9,3043.0,3218.0
,04/11/2025,6853.0,459.0,123.0,70.7,2933.0,3238.0
,05/11/2025,8535.0,436.0,128.0,70.4,2922.0,3531.0
,06/11/2025,8913.0,378.0,82.0,71.1,2743.0,3250.0
,07/11/2025,16773.0,496.0,128.0,70.8,3093.0,3545.0
,08/11/2025,13133.0,477.0,119.0,70.7,2906.0,3445.0
,09/11/2025,16892.0,525.0,90.0,70.8,2816.0,3495.0
,10/11/2025,7447.0,468.0,131.0,70.7,3091.0,3631.0
,11/11/2025,6674.0,464.0,112.0,70.8,2846.0,3569.0
,12/11/2025,10348.0,436.0,152.0,71.0,3174.0,3440.0
,13/11/2025,13082.0,418.0,95.0,71.0,2920.0,3444.0
,14/11/2025,12130.0,430.0,128.0,71.4,3175.0,3731.0
,15/11/2025,14016.0,449.0,89.0,71.6,3173.0,3862.0
,16/11/2025,14886.0,351.0,71.0,72.3,2743.0,2700.0
,17/11/2025,9259.0,512.0,93.0,70.8,2835.0,3510.0
,18/11/2025,8579.0,411.0,116.0,70.8,3041.0,3535.0
,19/11/2025,9961.0,390.0,147.0,70.8,3254.0,3625.0
,20/11/2025,7625.0,503.0,21.0,70.8,2413.0,4202.0
,21/11/2025,7705.0,329.0,53.0,72.4,2700.0,3542.0
,22/11/2025,14621.0,490.0,119.0,72.4,3054.0,2931.0
,23/11/2025,15907.0,314.0,60.0,71.8,2726.0,3060.0
,24/11/2025,8617.0,535.0,104.0,71.8,2952.0,3829.0
,25/11/2025,9187.0,397.0,137.0,71.8,3202.0,3220.0
,26/11/2025,11434.0,457.0,136.0,71.8,3258.0,3612.0
,27/11/2025,16349.0,450.0,101.0,71.4,2915.0,3623.0
,28/11/2025,9718.0,407.0,83.0,71.4,2857.0,3656.0
,29/11/2025,12485.0,421.0,85.0,71.7,2985.0,3330.0
,30/11/2025,12018.0,468.0,35.0,71.9,2578.0,3293.0
,01/12/2025,11433.0,461.0,84.0,71.5,2919.0,3745.0
,02/12/2025,9710.0,388.0,122.0,71.9,3018.0,3472.0
,03/12/2025,11879.0,471.0,129.0,71.9,3087.0,3450.0
,04/12/2025,10313.0,419.0,60.0,71.9,2700.0,3650.0
,05/12/2025,7688.0,373.0,123.0,72.3,3079.0,3415.0
,06/12/2025,10514.0,499.0,104.0,72.0,3060.0,3601.0
,07/12/2025,17053.0,367.0,87.0,72.0,3053.0,3414.0
,08/12/2025,8729.0,405.0,58.0,72.0,2735.0,3266.0
,09/12/2025,15424.0,321.0,141.0,71.8,3152.0,3680.0
,10/12/2025,12424.0,468.0,,71.8,2922.0,3581.0
,11/12/2025,9308.0,408.0,83.0,71.8,2723.0,3540.0
,12/12/2025,7738.0,523.0,80.0,71.8,2770.0,3695.0
,13/12/2025,12895.0,463.0,84.0,72.6,3043.0,3492.0
,14/12/2025,10813.0,462.0,106.0,72.3,2030.0,3584.0
,15/12/2025,7677.0,424.0,108.0,72.3,2985.0,3721.0
,16/12/2025,13423.0,459.0,136.0,72.3,3051.0,3708.0
,17/12/2025,9417.0,492.0,80.0,72.3,2859.0,3422.0
,18/12/2025,17379.0,464.0,93.0,72.7,2817.0,3409.0
,19/12/2025,9349.0,413.0,109.0,72.7,2846.0,3528.0
,20/12/2025,8596.0,428.0,131.0,72.1,3232.0,3485.0
,21/12/2025,,430.0,,72.9,,
